KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-01,1.1384,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-02,1.1018,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-03,1.0742,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-04,1.0597,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-05,1.0456,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-06,1.0328,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-07,1.0694,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-08,1.0573,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-09,1.0665,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-10,1.0453,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-11,1.0097,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,1999-12,1.0046,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2000-01,0.9791,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2000-02,0.9714,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2000-03,0.9553,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2000-04,0.9085,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2000-05,0.9303,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
